05.12.2019 16:58:49.765 [http-bio-8888-exec-3] DEBUG  o.h.t.BasicTypeRegistry - Adding type registration url -> org.hibernate.type.UrlType@7553cdd4
05.12.2019 16:58:49.765 [http-bio-8888-exec-3] DEBUG  o.h.t.BasicTypeRegistry - Adding type registration java.net.URL -> org.hibernate.type.UrlType@7553cdd4
05.12.2019 16:58:49.766 [http-bio-8888-exec-3] DEBUG  o.h.t.BasicTypeRegistry - Adding type registration date -> org.hibernate.type.DateType@7582f0e0
05.12.2019 16:58:49.767 [http-bio-8888-exec-3] DEBUG  o.h.t.BasicTypeRegistry - Adding type registration java.sql.Date -> org.hibernate.type.DateType@7582f0e0
05.12.2019 16:58:49.768 [http-bio-8888-exec-3] DEBUG  o.h.t.BasicTypeRegistry - Adding type registration time -> org.hibernate.type.TimeType@721c2e9c
05.12.2019 16:58:49.768 [http-bio-8888-exec-3] DEBUG  o.h.t.BasicTypeRegistry - Adding type registration java.sql.Time -> org.hibernate.type.TimeType@721c2e9c
05.12.2019 16:58:49.769 [http-bio-8888-exec-3] DEBUG  o.h.t.BasicTypeRegistry - Adding type registration timestamp -> org.hibernate.type.TimestampType@10ecef71
05.12.2019 16:58:49.769 [http-bio-8888-exec-3] DEBUG  o.h.t.BasicTypeRegistry - Adding type registration java.sql.Timestamp -> org.hibernate.type.TimestampType@10ecef71
05.12.2019 16:58:49.769 [http-bio-8888-exec-3] DEBUG  o.h.t.BasicTypeRegistry - Adding type registration java.util.Date -> org.hibernate.type.TimestampType@10ecef71
05.12.2019 16:58:49.771 [http-bio-8888-exec-3] DEBUG  o.h.t.BasicTypeRegistry - Adding type registration dbtimestamp -> org.hibernate.type.DbTimestampType@139f2f8c
05.12.2019 16:58:49.772 [http-bio-8888-exec-3] DEBUG  o.h.t.BasicTypeRegistry - Adding type registration calendar -> org.hibernate.type.CalendarType@71d6adfc
05.12.2019 16:58:49.772 [http-bio-8888-exec-3] DEBUG  o.h.t.BasicTypeRegistry - Adding type registration java.util.Calendar -> org.hibernate.type.CalendarType@71d6adfc
05.12.2019 16:58:49.772 [http-bio-8888-exec-3] DEBUG  o.h.t.BasicTypeRegistry - Adding type registration java.util.GregorianCalendar -> org.hibernate.type.CalendarType@71d6adfc
05.12.2019 16:58:49.773 [http-bio-8888-exec-3] DEBUG  o.h.t.BasicTypeRegistry - Adding type registration calendar_date -> org.hibernate.type.CalendarDateType@654c773b
05.12.2019 16:58:49.773 [http-bio-8888-exec-3] DEBUG  o.h.t.BasicTypeRegistry - Adding type registration locale -> org.hibernate.type.LocaleType@275c05f7
05.12.2019 16:58:49.774 [http-bio-8888-exec-3] DEBUG  o.h.t.BasicTypeRegistry - Adding type registration java.util.Locale -> org.hibernate.type.LocaleType@275c05f7
05.12.2019 16:58:49.774 [http-bio-8888-exec-3] DEBUG  o.h.t.BasicTypeRegistry - Adding type registration currency -> org.hibernate.type.CurrencyType@151ae4c8
05.12.2019 16:58:49.775 [http-bio-8888-exec-3] DEBUG  o.h.t.BasicTypeRegistry - Adding type registration java.util.Currency -> org.hibernate.type.CurrencyType@151ae4c8
05.12.2019 16:58:49.776 [http-bio-8888-exec-3] DEBUG  o.h.t.BasicTypeRegistry - Adding type registration timezone -> org.hibernate.type.TimeZoneType@10d19c3c
05.12.2019 16:58:49.776 [http-bio-8888-exec-3] DEBUG  o.h.t.BasicTypeRegistry - Adding type registration java.util.TimeZone -> org.hibernate.type.TimeZoneType@10d19c3c
